userId,preferredCategories,preferredTags
1,牛奶,烧烤|原味|酥脆|酸奶
2,坚果,冷藏|无糖
3,牛奶,混合|酥脆
4,坚果,送礼|巧克力
5,饼干|饮料,烧烤|橙味|功能|无糖
6,薯片|饼干,果味|果汁
7,饮料,经典|清爽
8,牛奶|饮料,纯牛奶|单品|鲜奶|蛋糕
9,坚果|薯片,有机|气泡|常温|代餐
10,薯片,酥脆|果汁
11,薯片|饮料,提神|功能|经典|混合
12,牛奶|饼干,原味|功能|薄脆|单品
13,坚果|饼干,乳饮料|咸味|酥脆|常温
14,饮料|薯片,混合|夹心
15,饼干|饮料,送礼|薄脆|健康
16,饼干|坚果,蛋糕|巧克力|茶饮|冷藏
17,坚果|饮料,酥脆|酸奶|非油炸
18,牛奶|坚果,健康|罐装
19,饮料,气泡|单品|清爽|薄脆
20,坚果|牛奶,纯牛奶|巧克力|烧烤|送礼
21,牛奶|薯片,功能|薄脆|橙味
22,坚果|饼干,果汁|罐装|进口|非油炸
23,饼干,功能|巧克力|碳酸
24,坚果,膨化|凉茶|纯牛奶
25,薯片|饼干,原味|夹心
26,牛奶,膨化|气泡|巧克力|酸奶
27,饮料,功能|茶饮|碳酸|清爽
28,饼干|坚果,进口|高端|代餐|送礼
29,饮料|坚果,原味|酥脆
30,薯片,冷藏|蛋糕
31,坚果,橙味|气泡
32,饼干,常温|果味
33,坚果,烧烤|代餐
34,饼干|坚果,夹心|瓜子|原味|番茄
35,牛奶,代餐|无糖
36,饮料|坚果,咸味|送礼|果汁
37,饮料,果味|果汁|原味|有机
38,坚果,酸奶|无糖|奶香
39,饮料|饼干,黄瓜|蛋糕
40,牛奶,巧克力|橙味|鲜奶|原味
41,饮料,瓜子|混合|高端
42,饼干,橙味|单品|茶饮
43,薯片|饮料,蛋糕|代餐|膨化|健康
44,薯片,咸味|冷藏
45,薯片,咸味|冷藏
46,坚果|饼干,非油炸|鲜奶
47,牛奶,气泡|原味|高端|纯牛奶
48,坚果,常温|黄油|鲜奶|番茄
49,薯片|饼干,乳饮料|原味|茶饮|高端
50,薯片,乳饮料|气泡|橙味
51,坚果|牛奶,巧克力|混合
52,饼干|薯片,原味|提神
53,饼干|饮料,进口|黄油|送礼|碳酸
54,坚果,代餐|果汁|酸奶
55,牛奶|坚果,蛋糕|健康|烧烤|高钙
56,薯片,罐装|茶饮
57,薯片|牛奶,罐装|无糖
58,牛奶|坚果,酸奶|罐装|茶饮
59,饮料,无糖|蛋糕|橙味|纯牛奶
